Country of origin,Location Description,Female 0 - 4,Female 5 - 11,Female 12 - 17,Female 18 - 59,Female 60,Female other,Male 0 - 4,Male 5 - 11,Male 12 - 17,Male 18 - 59,Male 60,Male other
Guinea,Maryland,0,0,0,14,0,0,0,0,0,0,0,0
Guinea,Massachusetts,0,0,0,5,0,0,0,0,0,6,0,0
Guinea,New Jersey,0,0,0,17,0,0,0,0,0,6,0,6
Guinea,New York,0,6,0,97,0,14,5,0,6,230,6,31
Guinea,Pennsylvania,0,0,0,23,0,0,0,0,0,28,0,5
Guinea,Texas,0,0,0,5,0,0,0,0,0,19,0,10
Guinea,Florida,0,0,0,0,0,0,0,0,0,5,0,0
Guinea,Virginia,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,California,0,9,0,0,0,0,0,0,0,0,0,0
Guyana,Florida,0,0,0,0,0,0,0,0,0,7,0,0
Guyana,Maryland,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,New Jersey,0,0,0,0,0,0,0,8,0,0,0,0
Guyana,New York,0,0,0,24,0,0,0,0,5,30,0,5
Guyana,Texas,5,0,0,0,0,0,0,0,0,0,0,0
Haiti,California,0,13,0,94,0,0,0,15,11,151,0,0
Haiti,Florida,72,206,116,2677,38,89,56,167,139,3518,59,166
Haiti,Illinois,0,5,0,26,0,0,6,0,0,33,0,0
Haiti,Maryland,0,16,7,123,0,5,0,8,6,134,0,6
Haiti,Massachusetts,13,26,26,444,5,18,21,32,23,507,5,36
Haiti,New Jersey,16,21,18,323,0,12,14,23,17,397,0,19
Haiti,New York,8,16,10,292,0,12,8,18,10,376,5,19
